Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
65,13,50-C,lower mineral,25-C,B,mineral,EB,HW," 562,883 ",," 562,883 ",0.21,4.32,1182,24327,,,,,
65A,13,C,lower mineral,C,C,mineral,EB,HW," 1,765,935 ",," 1,765,935 ",0.16,3.16,2810,55805,,,,,
66,14,O,O,O,O,organic,EB,HW," 70,392 "," 5,145 "," 75,537 ",1.58,29.66,1115,20879,67,2489,1181,23368,20
67,14,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 89,769 ",," 89,769 ",0.52,8.18,463,7342,,,,,
68,14,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 351,848 ",," 351,848 ",0.33,5.61,1151,19735,,,,,
69,14,25-50cm,lower mineral,25-C,B,mineral,EB,HW," 1,228,372 ",," 1,228,372 ",0.24,4.59,2908,56328,,,,,
70,14,50-C,lower mineral,25-C,B,mineral,EB,HW," 568,067 ",," 568,067 ",0.10,1.87,555,10639,,,,,
70A,14,C,lower mineral,C,C,mineral,EB,HW," 1,533,407 ",," 1,533,407 ",0.06,1.28,966,19653,,,,,
71,15,O,O,O,O,organic,EB,HW," 72,389 "," 2,664 "," 75,053 ",1.55,28.93,1124,20943,33,1131,1157,22075,19
72,15,0-5cm,0-5cm,0-5cm,B,mineral,EB,HW," 180,453 ",," 180,453 ",0.60,10.34,1091,18653,,,,,
73,15,5-25cm,5-25cm,5-25cm,B,mineral,EB,HW," 609,796 ",," 609,796 ",0.43,7.58,2610,46203,,,,,
76,16,O,O,O,O,organic,EB,SW," 170,311 "," 1,169 "," 171,480 ",1.24,31.48,2108,53613,12,573,2120,54186,26
77,16,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 104,270 ",," 104,270 ",0.52,12.56,539,13093,,,,,
78,16,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 986,291 ",," 986,291 ",0.30,7.68,2923,75767,,,,,
79,16,25-50cm,lower mineral,25-C,B,mineral,EB,SW," 1,091,514 ",," 1,091,514 ",0.46,14.22,5017,155213,,,,,
80,16,50-C,lower mineral,25-C,B,mineral,EB,SW," 1,866,829 ",," 1,866,829 ",0.40,13.31,7503,248524,,,,,
81,17,O,O,O,O,organic,EB,SW," 206,347 "," 8,241 "," 214,588 ",1.51,39.78,3117,82076,107,3986,3224,86062,27
82,17,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 336,519 ",," 336,519 ",0.41,9.40,1378,31648,,,,,
83,17,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 685,219 ",," 685,219 ",0.48,11.33,3285,77647,,,,,
84,17,25-50cm,lower mineral,25-C,B,mineral,EB,SW," 1,619,000 ",," 1,619,000 ",0.29,7.61,4705,123243,,,,,
85,17,50-C,lower mineral,25-C,B,mineral,EB,SW," 866,347 ",," 866,347 ",0.16,4.50,1353,38949,,,,,
85A,17,C,lower mineral,C,C,mineral,EB,SW," 1,727,946 ",," 1,727,946 ",0.06,1.71,1074,29529,,,,,
86,18,O,O,O,O,organic,EB,SW," 165,904 "," 6,025 "," 171,929 ",1.54,47.69,2555,79112,48,3108,2602,82220,32
87,18,0-5cm,0-5cm,0-5cm,B,mineral,EB,SW," 143,409 ",," 143,409 ",0.54,13.67,774,19604,,,,,
88,18,5-25cm,5-25cm,5-25cm,B,mineral,EB,SW," 427,508 ",," 427,508 ",0.43,11.03,1825,47151,,,,,
